domain,n_posts,total_engagement,avg_engagement,median_engagement
www.unit5.org,198,32240,162.82828282828282,120.0
www.clarkston.k12.mi.us,398,32080,80.60301507537689,51.0
www.medinabees.org,398,32053,80.53517587939699,92.0
www.pcsstn.com,403,32005,79.41687344913151,38.0
www.pburgsd.net,199,31986,160.73366834170855,132.0
www.painesville-township.k12.oh.us,398,31945,80.26381909547739,57.0
www.ccps.org,398,31941,80.2537688442211,51.0
www.crandall-isd.net,400,31860,79.65,54.0
www.spart1.org,398,31768,79.81909547738694,57.0
www.worthington.k12.oh.us,398,31738,79.74371859296483,50.5
www.eastpennsd.org,401,31665,78.9650872817955,45.0
www.celinaschools.org,798,31622,39.6265664160401,25.0
www.parkhill.k12.mo.us,398,31601,79.39949748743719,44.0
www.willisisd.org,401,31534,78.63840399002494,50.0
www.rsd.edu,402,31492,78.33830845771145,49.0
www.kingstoncityschools.org,401,31491,78.53117206982543,45.0
www.olatheschools.com,201,31445,156.44278606965173,78.0
www.lfalls.k12.mn.us,398,31416,78.93467336683418,82.5
www.isd709.org,398,31378,78.8391959798995,44.0
www.manateeschools.net,398,31371,78.821608040201,43.0
www.bbschools.org,796,31362,39.39949748743719,28.0
www.mw.k12.ny.us,398,31180,78.34170854271356,48.5
www.psarrows.com,398,31145,78.2537688442211,48.0
www.dadeschools.net,398,31029,77.96231155778895,38.5
www.mid-del.net,424,31005,73.125,35.5
www.ccps.us,798,30926,38.75438596491228,22.0
bobcat.k12.ar.us,796,30924,38.84924623115578,20.0
www.beasd.org,401,30923,77.11471321695761,48.0
www.badaxeps.org,592,30921,52.23141891891892,31.5
www.hsisd.net,798,30841,38.647869674185465,22.0
www.fcps.org,398,30783,77.34422110552764,38.0
www.johnston.k12.nc.us,398,30669,77.05778894472361,45.5
www.dusd.net,398,30534,76.71859296482413,45.5
www.palestineschools.org,798,30405,38.1015037593985,22.0
www.benzieschools.net,474,30340,64.0084388185654,39.0
www.vegalonghorn.com,802,30303,37.78428927680798,28.0
www.scentral.k12.in.us,606,30254,49.92409240924093,32.0
www.pikeroadschools.org,398,30231,75.9572864321608,66.0
www.washington.k12.mo.us,398,30218,75.92462311557789,55.0
www.plymouth.k12.wi.us,1306,30130,23.07044410413476,8.0
www.midlandisd.net,398,30121,75.68090452261306,48.0
www.brentwood.k12.ny.us,398,30106,75.64321608040201,48.5
www.albiacsd.org,398,29919,75.17336683417085,44.0
www.dublinschools.net,398,29885,75.08793969849246,27.0
www.cheltenham.org,798,29727,37.25187969924812,18.0
www.dickinsonisd.org,426,29668,69.64319248826291,33.0
www.kckps.org,398,29633,74.45477386934674,45.0
www.minisink.com,398,29630,74.44723618090453,51.0
www.chathamschools.org,398,29609,74.39447236180905,51.0
www.abington.k12.pa.us,418,29556,70.70813397129187,50.0
www.floydadaisd.esc17.net,798,29550,37.03007518796993,29.0
yorkpublic.org,398,29546,74.23618090452261,42.5
www.frederick.k12.va.us,398,29471,74.04773869346734,41.0
www.ectorcountyisd.org,400,29458,73.645,33.0
www.brownsburg.k12.in.us,203,29412,144.88669950738915,122.0
www.rock-hill.k12.sc.us,398,29366,73.78391959798995,30.0
www.acsc.net,398,29319,73.66582914572864,55.0
www.sbcisd.net,399,29291,73.41102756892231,48.0
www.mead354.org,400,29255,73.1375,57.0
westside66.org,398,29238,73.46231155778895,57.0
www.ocasd.org,398,29176,73.30653266331659,57.0
www.mtplcsd.org,199,29145,146.4572864321608,40.0
www.unionps.org,798,29135,36.510025062656645,15.0
www.farmington.k12.mi.us,398,29097,73.10804020100502,76.0
www.wjhsd.net,398,29082,73.07035175879398,47.0
www.rentonschools.us,401,29057,72.46134663341645,55.0
www.pickerington.k12.oh.us,398,29035,72.95226130653266,79.0
www.oconeeschools.org,198,29026,146.59595959595958,105.0
www.dearbornschools.org,574,29025,50.566202090592334,26.0
www.desotoisd.org,798,29021,36.3671679197995,14.0
district.ops.org,398,28955,72.75125628140704,40.5
www.horrycountyschools.net,398,28942,72.71859296482413,36.5
www.clsd.k12.pa.us,404,28926,71.5990099009901,46.0
www.rollinghills.k12.oh.us,398,28875,72.55025125628141,58.0
www.galenaparkisd.com,798,28864,36.17042606516291,17.0
www.lowndes.k12.ga.us,398,28861,72.51507537688443,38.0
www.gilmerschools.com,198,28848,145.6969696969697,142.0
www.redlodge.com,205,28846,140.71219512195123,79.0
www.mpsomaha.org,398,28841,72.46482412060301,38.5
www.lakewoodcityschools.org,398,28836,72.45226130653266,47.5
www.willard.k12.oh.us,398,28800,72.36180904522612,47.0
www.madison-schools.com,398,28792,72.34170854271356,44.5
www.ltschools.org,398,28781,72.3140703517588,47.0
www.fargo.k12.nd.us,398,28750,72.23618090452261,39.0
www.fruitportschools.net,398,28749,72.23366834170854,44.0
www.piqua.org,398,28733,72.19346733668341,54.0
www.sbcsc.k12.in.us,398,28708,72.13065326633166,28.0
www.colonialschooldistrict.org,398,28640,71.95979899497488,46.5
www.greeleyschools.org,398,28620,71.90954773869346,40.0
www.me.stier.org,398,28612,71.8894472361809,35.0
www.northcolonie.org,198,28586,144.37373737373738,113.0
www.hocksd.org,808,28576,35.366336633663366,29.0
www.greenup.k12.ky.us,398,28559,71.75628140703517,41.0
www.gothenburgswedes.org,796,28520,35.82914572864322,22.0
www.bryanisd.org,398,28495,71.59547738693468,42.5
www.miamitrace.k12.oh.us,633,28476,44.985781990521325,22.0
www.sd129.org,398,28475,71.54522613065326,31.0
www.delano.k12.mn.us,398,28408,71.37688442211055,50.0
www.raytownschools.org,403,28408,70.49131513647643,42.0
www.edmondschools.net,202,28407,140.62871287128712,89.0
www.centerville.k12.oh.us,398,28392,71.33668341708542,50.0
www.montevideoschools.com,398,28389,71.32914572864321,57.0
www.murrayschools.org,798,28383,35.567669172932334,25.5
www.sussexvt.k12.de.us,398,28348,71.22613065326634,70.0
www.lrsd.org,398,28342,71.21105527638191,19.0
www.cicd99.edu,398,28210,70.87939698492463,52.0
www.bismarck.k12.il.us,415,28203,67.95903614457832,45.0
www.lawtonps.org,798,28178,35.310776942355886,19.0
www.greenon.k12.oh.us,398,28160,70.7537688442211,63.0
www.ccs.k12.in.us,398,28159,70.75125628140704,45.5
www.salem.k12.va.us,399,28136,70.51629072681705,53.0
www.corningareaschools.com,599,28069,46.85976627712855,29.0
www.scasd.org,398,28018,70.39698492462311,43.5
www.hck12.net,398,28007,70.36934673366834,42.0
www.gocruisers.org,398,27982,70.30653266331659,44.0
www.hfisd.net,400,27976,69.94,53.5
www.butler.k12.pa.us,406,27962,68.87192118226601,57.0
www.fremont.k12.ca.us,398,27885,70.06281407035176,38.0
lcboe.net,398,27817,69.89195979899498,45.0
www.jcschools.com,398,27817,69.89195979899498,51.5
www.kpschools.com,199,27801,139.7035175879397,96.0
www.icoe.org,796,27790,34.91206030150754,16.0
www.adams12.org,398,27757,69.74120603015075,42.5
www.vikingnet.org,530,27747,52.35283018867924,57.0
www.danville.k12.in.us,398,27729,69.67085427135679,60.0
www.home.elida.k12.oh.us,398,27725,69.6608040201005,58.0
www.kingslocal.net,398,27683,69.55527638190955,39.5
www.warrenschools.com,398,27682,69.55276381909547,40.5
www.burke.k12.nc.us,398,27672,69.52763819095478,30.0
www.luling.txed.net,798,27618,34.609022556390975,25.0
www.otsegops.org,398,27600,69.34673366834171,47.0
www.baltimorecityschools.org,398,27511,69.12311557788945,18.0
www.frenship.net,405,27480,67.85185185185185,40.0
www.seguin.k12.tx.us,798,27454,34.40350877192982,15.0
www.hcsd.iu5.org,798,27372,34.30075187969925,21.0
www.fortmillschools.org,201,27370,136.16915422885572,81.0
www.camraiders.com,398,27353,68.72613065326634,56.0
www.ahsd.org,404,27276,67.51485148514851,62.5
www.dnhcsd.org,398,27265,68.50502512562814,56.0
www.fisd.us,402,27214,67.69651741293532,41.0
www.rcas.org,202,27185,134.57920792079207,74.5
www.simi.k12.ca.us,198,27181,137.27777777777777,107.5
www.eisd.net,402,27150,67.53731343283582,46.5
www.spps.org,398,27128,68.1608040201005,40.5
spartanburg7.org,398,27095,68.07788944723617,43.0
www.methacton.org,398,27077,68.03266331658291,32.5
lpsb.org,398,27074,68.0251256281407,35.0
www.medford.k12.or.us,398,27061,67.99246231155779,43.0
www.goldenrams.com,409,27023,66.07090464547677,49.0
www.lvisd.org,407,26973,66.27272727272727,46.0
www.swisd.net,400,26968,67.42,38.0
www.nixapublicschools.net,398,26908,67.60804020100502,41.0
ednakarr.inspirenolacharterschools.org,200,26846,134.23,33.0
www.cplc.org,798,26786,33.56641604010025,17.0
www.hermiston.k12.or.us,798,26742,33.51127819548872,17.0
www.tippcityschools.com,398,26731,67.16331658291458,55.0
www.daltonpublicschools.com,398,26723,67.14321608040201,43.5
www.bibb.k12.ga.us,398,26701,67.08793969849246,39.0
www.indianola.k12.ia.us,398,26701,67.08793969849246,46.0
www.salamancany.org,398,26690,67.06030150753769,30.0
www.g-pisd.org,405,26689,65.89876543209877,57.0
rallsisd.org,798,26685,33.43984962406015,22.0
www.pineisland.k12.mn.us,398,26668,67.00502512562814,46.0
www.usd382.com,1406,26630,18.940256045519202,8.0
www.pampaisd.net,413,26605,64.41888619854721,34.0
www.psd1.org,401,26571,66.26184538653366,36.0
www.edwardsburgpublicschools.org,407,26549,65.23095823095824,45.0
www.capehenlopenschools.com,398,26515,66.62060301507537,56.0
www.edisonlocal.k12.oh.us,398,26471,66.51005025125629,58.5
www.scuc.txed.net,403,26431,65.58560794044665,29.0
www.hufsd.edu,398,26394,66.31658291457286,56.0
www.fairborn.k12.oh.us,398,26391,66.30904522613065,44.0
www.widener.edu,398,26367,66.24874371859296,46.5
www.wayzata.k12.mn.us,398,26280,66.03015075376885,47.0
www.ridgerunners.net,398,26260,65.97989949748744,48.5
www.ichabodcrane.org,398,26241,65.9321608040201,45.0
chelsea.k12.mi.us,694,26197,37.747838616714695,28.0
www.hcpss.org,398,26134,65.66331658291458,33.0
www.molineschools.org,398,26121,65.63065326633166,43.0
www.ssvotech.org,484,26102,53.929752066115704,18.0
www.chesterfieldschools.org,198,26044,131.53535353535352,65.5
www.jordandistrict.org,398,26025,65.3894472361809,50.0
www.crawford-isd.net,798,25998,32.578947368421055,15.0
www.epsnj.org,398,25996,65.31658291457286,31.0
www.lexington1.net,398,25982,65.28140703517587,37.0
cassville.k12.mo.us,398,25943,65.18341708542714,51.0
www.capital.k12.de.us,798,25926,32.48872180451128,21.0
www.csdvt.org,399,25909,64.93483709273183,45.0
www.gm.k12.mn.us,1480,25886,17.49054054054054,10.0
www.jcschools.org,424,25884,61.04716981132076,42.0
www.fresnounified.org,398,25767,64.74120603015075,29.0
www.lcps.net,398,25751,64.70100502512562,36.5
www.dpsk12.org,398,25748,64.69346733668341,34.0
