domain,n_posts,total_engagement,median_engagement
www.wuhsms.org,409,7506,8.0
www.oglesbyisd.net,409,4588,7.0
www.goldenrams.com,409,27023,49.0
www.decaturisd.us,409,25200,39.0
www.portchesterschools.org,409,4974,4.0
usd281.com,409,5677,10.0
www.muensterisd.net,409,10739,14.0
www.goffstown.k12.nh.us,409,6102,8.0
www.hopewell.k12.va.us,409,23787,32.0
newhomeisd.org,409,13445,13.0
www.pisd.us,409,16305,28.0
www.ferrisisd.org,409,12389,20.0
www.hudson.k12.mi.us,409,16442,18.0
www.ocsd62.org,409,15569,23.0
www.eaglepnt.k12.or.us,409,14727,21.0
www.okmulgeeps.com,409,5712,10.0
www.csisd.org,408,34150,58.0
www.mlsd161.org,408,32638,54.5
www.enumclaw.wednet.edu,408,22234,33.0
www.wyliebulldogs.org,408,22209,34.0
www.lcmcisd.org,408,17435,27.5
www.frionaisd.com,408,14895,21.0
www.garrisonisd.com,408,8687,11.0
www.odyssey-academy.com,408,8516,13.5
www.staunton.k12.va.us,408,8190,12.0
zephyrisd.net,408,5105,8.0
www.rvusd.org,408,5633,7.0
www.bsisd.esc18.net,408,10800,15.0
www.csdk12.org,408,11974,18.0
www.tannehill.k12.ok.us,408,6587,5.0
www.rockwellhigh.net,408,6014,11.0
www.floyd.k12.va.us,408,12641,22.0
www.amaisd.org,407,42698,47.0
www.acsk-12.org,407,36261,61.0
www.springtownisd.net,407,21614,36.0
odonnell.esc17.net,407,14078,22.0
www.columbusisd.org,407,8373,7.0
www.san-saba.net,407,8368,13.0
www.unioncity.k12.ok.us,407,8083,14.0
www.jarrellisd.org,407,7442,9.0
www.sentinel.k12.ok.us,407,7309,7.0
www.goliadisd.org,407,6813,8.0
www.justice.k12.ok.us,407,4118,7.0
www.edwardsburgpublicschools.org,407,26549,45.0
www.trent.esc14.net,407,4841,7.0
www.canton.k12.pa.us,407,12199,18.0
