nces_id,n_posts,total_engagement,total_likes,total_comments,total_shares,avg_engagement,median_engagement,p90_engagement,max_engagement,pct_with_image,pct_with_link,pct_with_text
400217,411,4913,4258,318,337,11.953771289537713,9.0,25.0,259,0.7031630170316302,0.30900243309002434,0.7518248175182481
400413,198,7194,5961,938,295,36.333333333333336,27.0,71.60000000000002,317,0.5202020202020202,0.1717171717171717,0.9393939393939394
4200124,57,471,402,45,24,8.263157894736842,6.0,18.799999999999997,32,0.5087719298245614,0.22807017543859648,0.7543859649122807
2721320,400,28389,25846,2246,297,70.9725,57.0,147.20000000000005,382,0.7325,0.1925,0.8475
3410590,198,13993,12946,844,203,70.67171717171718,47.0,159.80000000000007,452,0.6363636363636364,0.2878787878787879,0.8636363636363636
3904872,1635,39704,32484,3820,3400,24.283792048929662,10.0,63.600000000000136,518,0.24097859327217125,0.5162079510703363,0.5382262996941896
1600174,200,2128,1949,64,115,10.64,6.0,28.099999999999994,87,0.405,0.355,0.845
2626010,868,43060,34004,4520,4536,49.60829493087557,25.0,140.0,427,0.4308755760368664,0.5069124423963134,0.7511520737327189
802190,1006,13065,11675,959,431,12.987077534791252,8.0,30.0,125,0.621272365805169,0.2773359840954274,0.8369781312127237
2010920,198,4000,3567,402,31,20.2020202020202,13.0,42.80000000000007,211,0.25757575757575757,0.08585858585858586,0.7070707070707071
3400719,134,1213,1109,58,46,9.052238805970148,8.0,18.700000000000003,30,0.8134328358208955,0.19402985074626866,0.8283582089552238
4835850,798,34441,29759,2604,2078,43.159147869674186,26.0,104.0,557,0.6127819548872181,0.18295739348370926,0.9774436090225563
4800076,190,434,405,9,20,2.2842105263157895,2.0,6.0,11,0.7052631578947368,0.15263157894736842,0.5526315789473685
4200890,199,3404,3069,199,136,17.105527638190956,14.0,33.0,78,0.5376884422110553,0.23618090452261306,0.8994974874371859
1712330,210,228,146,12,70,1.0857142857142856,0.0,3.0,40,0.05238095238095238,0.9619047619047619,0.7904761904761904
1304440,398,17676,15878,1479,319,44.41206030150754,26.0,108.0,473,0.6306532663316583,0.2135678391959799,0.7311557788944724
4837800,410,12477,10398,1451,628,30.431707317073172,18.0,71.10000000000002,251,0.6365853658536585,0.23414634146341465,0.8292682926829268
3904921,198,6452,5816,439,197,32.58585858585859,24.5,75.0,138,0.5656565656565656,0.2222222222222222,0.9696969696969697
2615830,113,1562,1236,121,205,13.823008849557523,6.0,36.19999999999999,121,0.3274336283185841,0.4247787610619469,0.7787610619469026
4027450,403,6943,5985,773,185,17.22828784119107,11.0,38.0,202,0.3523573200992556,0.10918114143920596,0.8784119106699751
3306180,198,3536,3173,270,93,17.858585858585858,13.0,39.30000000000001,88,0.6212121212121212,0.13636363636363635,0.8383838383838383
4222320,201,3622,2205,388,1029,18.019900497512438,8.0,45.0,327,0.19900497512437812,0.20398009950248755,0.5174129353233831
3176620,200,3384,3073,202,109,16.92,12.0,38.099999999999994,70,0.605,0.16,0.825
904050,198,7062,5793,831,438,35.666666666666664,24.0,76.90000000000003,224,0.46464646464646464,0.3181818181818182,0.8888888888888888
637890,71,419,185,47,187,5.901408450704225,3.0,10.0,62,0.19718309859154928,0.6056338028169014,0.9154929577464789
3817570,401,6712,5929,771,12,16.738154613466335,9.0,40.0,180,0.4164588528678304,0.2743142144638404,0.9476309226932669
3704320,400,14227,11710,2204,313,35.5675,15.0,90.10000000000002,682,0.735,0.46,0.8475
2600264,806,5247,3031,1978,238,6.509925558312655,4.0,16.0,61,0.18362282878411912,0.1054590570719603,0.5086848635235732
1703780,201,11941,9823,1704,414,59.407960199004975,47.0,126.0,288,0.681592039800995,0.10945273631840796,0.7114427860696517
2900609,198,2104,1882,155,67,10.626262626262626,8.0,18.30000000000001,171,0.7121212121212122,0.19696969696969696,0.7676767676767676
4841790,404,6559,5312,939,308,16.235148514851485,12.0,35.0,81,0.5495049504950495,0.3341584158415842,0.8465346534653465
3200021,204,3010,2753,53,204,14.754901960784315,10.0,33.0,77,0.24509803921568626,0.8725490196078431,0.8823529411764706
2010890,1406,26630,24331,1583,716,18.940256045519202,8.0,53.0,274,0.46301564722617355,0.12802275960170698,0.7197724039829303
4200872,202,207,184,12,11,1.0247524752475248,0.0,3.0,8,0.5891089108910891,0.3564356435643564,0.8564356435643564
4200847,398,525,439,65,21,1.3190954773869348,1.0,4.0,9,0.5,0.38944723618090454,0.8693467336683417
